Year,Rank,Hometown,High School,HS Type,Position,Status,College
2020,1,"Arlington, Texas",Montverde Academy,private,Point Guard,Signed ,Oklahoma State
2020,2,"West Palm Beach, Fla.",Montverde Academy,private,Power Forward,Signed ,Florida State
2020,3,"Chatsworth, Calif.",Sierra Canyon High School,private,Small Forward,Signed ,Kentucky
2020,4,"Austin, Texas",Vandegrift High School,public,Power Forward,Signed ,Texas
2020,5,"Lakewood, Calif.",Mayfair High School,public,Shooting Guard,Committed ,Arizona State
2020,6,"Glendale, Wis.",Nicolet High School,public,Small Forward,Signed ,Duke
2020,7,"Richmond, Va.",Word of God Christian Academy,private,Power Forward,Undeclared,N/A
2020,8,"Charlotte, N.C.",IMG Academy,private,Shooting Guard,Signed ,Tennessee
2020,9,"Leesburg, Va.",Paul VI High School,private,Point Guard,Signed ,Duke
2020,10,"Las Vegas, Nev.",Trinity International School,private,Point Guard,Undeclared,N/A
2020,11,"Chesapeake, Va.",Oak Hill Academy,private,Shooting Guard,Signed ,LSU
2020,12,"Santa Ana, Calif.",Mater Dei High School,private,Point Guard,Signed ,Kentucky
2020,13,"Washington, Okla.",Washington High School,public,Shooting Guard,Signed ,Kansas
2020,14,"Jackson, Miss.",Huntington Prep,private,Power Forward,Signed ,Duke
2020,15,"Sacramento, Calif.",Sheldon High School,public,Small Forward,Signed ,Arizona State
2020,16,"Albany, N.Y.",The Albany Academy,private,Small Forward,Signed ,UConn
2020,17,"Hyattsville, Md.",DeMatha Catholic High School,private,Small Forward,Signed ,Miami
2020,18,"Memphis, Tenn.",IMG Academy,private,Shooting Guard,Signed ,Ole Miss
2020,19,"Hyattsville, Md.",DeMatha Catholic High School,private,Center,Signed ,Michigan
2020,20,"White Plains, N.Y.",Archbishop Stepinac High School,private,Point Guard,Signed ,North Carolina
2020,21,"Little Rock, Ark.",Montverde Academy,private,Shooting Guard,Signed ,Arkansas
2020,22,"Seattle, Wash.",Dream City Christian,private,Small Forward,Undeclared,N/A
2020,23,"Prior Lake, Minn.",Prior Lake High School,public,Power Forward,Signed ,Marquette
2020,24,"Baton Rouge, La.",Scotlandville Magnet High School,public,Point Guard,Signed ,Virginia
2020,25,"Montclair, N.J.",Roselle Catholic High School,private,Center,Signed ,Rutgers
2020,26,"Oklahoma City, Okla.",Putnam City West High School,public,Point Guard,Signed ,Oklahoma State
2020,27,"Bradenton, Fla.",IMG Academy,private,Power Forward,Undeclared,N/A
2020,28,"Murrieta, Calif.",Rancho Christian School,private,Shooting Guard,Signed ,Gonzaga
2020,29,"Saint Louis, Mo.",Vashon High School,public,Small Forward,Signed ,Kentucky
2020,30,"Tempe, Ariz.",Hillcrest Prep,private,Small Forward,Signed ,Arizona
2020,31,"Loganville, Ga.",The Skill Factory Prep School,private,Center,Undeclared,N/A
2020,32,"Oskaloosa, Iowa",Oskaloosa High School,public,Center,Signed ,Iowa State
2020,33,"Loganville, Ga.",Grayson High School,public,Point Guard,Signed ,Mississippi State
2020,34,"Baltimore, Md.",Polytechnic Institute High School,public,Power Forward,Signed ,Marquette
2020,35,"Decatur, Ga.",Hargrave Military Academy,private,Point Guard,Signed ,Georgia
