,hometown,high school,position,status
0,"['Hometown', 'Middletown, Conn.']","['School', 'St. Thomas More School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Connecticut                   ']"
1,"['Hometown', 'Somerdale, N.J.']","['School', ""Saint Patrick's High School""]","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky                      ']"
2,"['Hometown', 'Norfolk, Va.']","['School', 'Norfolk Christian School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina                ']"
3,"['Hometown', 'Indianapolis, Ind.']","['School', 'Pike High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky                      ']"
4,"['Hometown', 'Dallas, Texas']","['School', 'Lincoln High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oklahoma State                ']"
5,"['Hometown', 'Montreal, Quebec, Canada']","['School', 'Notre Dame Prep']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Pittsburgh                    ']"
6,"['Hometown', 'Washington, Ind.']","['School', 'Washington High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Indiana                       ']"
7,"['Hometown', 'Florissant, Mo.']","['School', 'McCluer North High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arkansas                      ']"
8,"['Hometown', 'Portsmouth, Va.']","['School', 'I. C. Norcom High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia Tech                 ']"
9,"['Hometown', 'Philadelphia, Pa.']","['School', 'Academy of the New Church']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Syracuse                      ']"
10,"['Hometown', 'Gilbert, Ariz.']","['School', 'Findlay College Prep']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona                       ']"
11,"['Hometown', 'Greenville, Ga.']","['School', 'Greenville High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgia                       ']"
12,"['Hometown', 'Oakland, Calif.']","['School', 'Oakland High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oregon                        ']"
13,"['Hometown', 'Bowling Green, Ky.']","['School', 'Bowling Green High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Louisville                    ']"
14,"['Hometown', 'Madison, Ala.']","['School', 'Bob Jones High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Alabama                       ']"
